Category,Month,Revenue_INR
Fruits,Jan,12500
Fruits,Feb,11800
Fruits,Mar,13200
Fruits,Apr,12100
Fruits,May,14000
Fruits,Jun,13500
Fruits,Jul,12800
Fruits,Aug,13100
Fruits,Sep,12900
Fruits,Oct,13600
Fruits,Nov,14200
Fruits,Dec,15000
Vegetables,Jan,15200
Vegetables,Feb,14800
Vegetables,Mar,16000
Vegetables,Apr,15500
Vegetables,May,16200
Vegetables,Jun,15800
Vegetables,Jul,16100
Vegetables,Aug,16500
Vegetables,Sep,15900
Vegetables,Oct,16800
Vegetables,Nov,17200
Vegetables,Dec,18000
Dairy,Jan,18000
Dairy,Feb,17500
Dairy,Mar,18200
Dairy,Apr,18500
Dairy,May,19000
Dairy,Jun,18800
Dairy,Jul,19200
Dairy,Aug,19500
Dairy,Sep,19100
Dairy,Oct,19800
Dairy,Nov,20200
Dairy,Dec,21000
Snacks,Jan,9500
Snacks,Feb,9200
Snacks,Mar,9800
Snacks,Apr,10100
Snacks,May,10500
Snacks,Jun,10200
Snacks,Jul,10600
Snacks,Aug,11000
Snacks,Sep,10800
Snacks,Nov,11500
Snacks,Dec,12500
Beverages,Jan,8200
Beverages,Feb,8500
Beverages,Mar,9200
Beverages,Apr,10500
Beverages,May,12000
Beverages,Jun,12500
Beverages,Jul,11800
Beverages,Aug,11200
Beverages,Sep,10000
Beverages,Oct,9500
Beverages,Nov,9800
Beverages,Dec,11000
Household,Jan,14000
Household,Feb,13800
Household,Mar,14200
Household,Apr,14100
Household,May,14500
Household,Jun,14300
Household,Jul,14600
Household,Aug,14800
Household,Sep,14700
Household,Oct,15200
Household,Nov,15800
Household,Dec,16500
Bakery,Jan,11000
Bakery,Feb,10800
Bakery,Mar,11200
Bakery,Apr,11500
Bakery,May,11800
Bakery,Jun,11600
Bakery,Jul,11900
Bakery,Aug,12100
Bakery,Sep,12000
Bakery,Oct,12500
Bakery,Nov,13000
Bakery,Dec,14000
Grocery,Jan,22000
Grocery,Feb,21500
Grocery,Mar,22500
Grocery,Apr,22800
Grocery,May,23200
Grocery,Jun,23000
Grocery,Jul,23500
Grocery,Aug,23800
Grocery,Sep,23400
Grocery,Oct,24200
Grocery,Nov,25000
Grocery,Dec,26500
